sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
206,860000000,1.682061,1.166480,1.036027,0.235613,0.301540,0.234850,0.291417,0.233397,0.279925,0.233397,0.279925,0.219993,0.084360,0.220000,0.082185,0.220000,0.077937,0.220000,0.077937,0,1.518171,0.220000,0.212667,0.089518,0.074852,0.311417,0.271417,0.311127,0.330000,0.296906,1
206,880000000,1.682870,1.171108,1.041951,0.234933,0.296167,0.233397,0.279925,0.232715,0.272739,0.232715,0.272739,0.219987,0.082456,0.220000,0.077937,0.220000,0.075869,0.220000,0.075869,0,1.477889,0.220000,0.212667,0.085270,0.070603,0.299925,0.259925,0.311127,0.330000,0.289283,1
206,920000000,1.684553,1.180291,1.053337,0.233389,0.283954,0.232715,0.272739,0.231462,0.259972,0.231462,0.259972,0.219939,0.078085,0.220000,0.075869,0.220000,0.071936,0.220000,0.071936,0,1.401281,0.220000,0.212667,0.083202,0.068535,0.292739,0.252739,0.311127,0.330000,0.275742,1
206,940000000,1.685390,1.184870,1.058892,0.232773,0.277742,0.231462,0.259972,0.230867,0.254735,0.230867,0.254735,0.219933,0.076243,0.220000,0.071936,0.220000,0.069998,0.220000,0.069998,0,1.363528,0.220000,0.212667,0.079269,0.064603,0.279972,0.239972,0.311127,0.330000,0.270187,1
206,980000000,1.687075,1.193994,1.069693,0.231210,0.264218,0.230867,0.254735,0.229750,0.242432,0.229750,0.242432,0.219867,0.071528,0.220000,0.069998,0.220000,0.066221,0.220000,0.066221,0,1.289962,0.220000,0.212667,0.077331,0.062665,0.274735,0.234735,0.311127,0.330000,0.257138,1
207,0,1.687942,1.198529,1.074899,0.230852,0.260304,0.229750,0.242432,0.229234,0.237524,0.229234,0.237524,0.219884,0.070312,0.220000,0.066221,0.220000,0.064407,0.220000,0.064407,0,1.254614,0.220000,0.212667,0.073555,0.058888,0.262432,0.222432,0.311127,0.330000,0.251932,1
207,40000000,1.689714,1.207553,1.084925,0.229731,0.248660,0.229234,0.237524,0.228281,0.226186,0.228281,0.226186,0.219857,0.066628,0.220000,0.064407,0.220000,0.060929,0.220000,0.060929,0,1.186876,0.220000,0.212667,0.071740,0.057073,0.257524,0.217524,0.311127,0.330000,0.239907,1
207,60000000,1.690630,1.212037,1.089734,0.228826,0.240428,0.228281,0.226186,0.227846,0.221653,0.227846,0.221653,0.219810,0.063601,0.220000,0.060929,0.220000,0.059278,0.220000,0.059278,0,1.154701,0.220000,0.212667,0.068263,0.053596,0.246186,0.206186,0.311127,0.330000,0.235098,1
207,100000000,1.692479,1.220976,1.099074,0.228167,0.232566,0.227846,0.221653,0.227032,0.210861,0.227032,0.210861,0.219825,0.061131,0.220000,0.059278,0.220000,0.056069,0.220000,0.056069,0,1.092196,0.220000,0.212667,0.066611,0.051944,0.241653,0.201653,0.311127,0.330000,0.223652,1
207,120000000,1.693400,1.225438,1.103651,0.227818,0.228856,0.227032,0.210861,0.226646,0.206545,0.226646,0.206545,0.219832,0.059792,0.220000,0.056069,0.220000,0.054484,0.220000,0.054484,0,1.061325,0.220000,0.212667,0.063402,0.048736,0.230861,0.190861,0.311127,0.330000,0.219074,1
207,160000000,1.695274,1.234329,1.112493,0.226605,0.215565,0.226646,0.206545,0.225932,0.196000,0.225932,0.196000,0.219777,0.055211,0.220000,0.054484,0.220000,0.051434,0.220000,0.051434,0,1.001903,0.220000,0.212667,0.061817,0.047151,0.226545,0.186545,0.311127,0.330000,0.207890,1
207,180000000,1.696221,1.238761,1.116780,0.226616,0.214360,0.225932,0.196000,0.225600,0.191958,0.225600,0.191958,0.219820,0.055079,0.220000,0.051434,0.220000,0.049954,0.220000,0.049954,0,0.973085,0.220000,0.212667,0.058767,0.044100,0.216000,0.176000,0.311127,0.330000,0.203603,1
207,220000000,1.698149,1.247593,1.125017,0.225899,0.204158,0.225600,0.191958,0.224990,0.181612,0.224990,0.181612,0.219812,0.052087,0.220000,0.049954,0.220000,0.047124,0.220000,0.047124,0,0.917948,0.220000,0.212667,0.057288,0.042621,0.211958,0.171958,0.311127,0.330000,0.192628,1
207,240000000,1.699111,1.252003,1.129045,0.225701,0.201396,0.224990,0.181612,0.224702,0.177814,0.224702,0.177814,0.219827,0.051157,0.220000,0.047124,0.220000,0.045730,0.220000,0.045730,0,0.890793,0.220000,0.212667,0.054457,0.039790,0.201612,0.161612,0.311127,0.330000,0.188600,1
207,280000000,1.701023,1.260818,1.136949,0.225391,0.196024,0.224702,0.177814,0.224155,0.167752,0.224155,0.167752,0.219856,0.049645,0.220000,0.045730,0.220000,0.042961,0.220000,0.042961,0,0.836851,0.220000,0.212667,0.053063,0.038396,0.197814,0.157814,0.311127,0.330000,0.177928,1
207,300000000,1.702019,1.265199,1.140682,0.224663,0.186652,0.224155,0.167752,0.223913,0.164233,0.223913,0.164233,0.219806,0.046462,0.220000,0.042961,0.220000,0.041679,0.220000,0.041679,0,0.811888,0.220000,0.212667,0.050294,0.035627,0.187752,0.147752,0.311127,0.330000,0.174195,1
207,340000000,1.704018,1.273948,1.147916,0.224113,0.176915,0.223913,0.164233,0.223462,0.154905,0.223462,0.154905,0.219801,0.043749,0.220000,0.041679,0.220000,0.039182,0.220000,0.039182,0,0.763241,0.220000,0.212667,0.049012,0.034346,0.184233,0.144233,0.311127,0.330000,0.164301,1
207,360000000,1.705018,1.278318,1.151433,0.224122,0.175875,0.223462,0.154905,0.223251,0.151588,0.223251,0.151588,0.219834,0.043633,0.220000,0.039182,0.220000,0.037961,0.220000,0.037961,0,0.739455,0.220000,0.212667,0.046515,0.031848,0.174905,0.134905,0.311127,0.330000,0.160784,1
207,400000000,1.707085,1.287016,1.158084,0.223417,0.164349,0.223251,0.151588,0.222876,0.142661,0.222876,0.142661,0.219804,0.040013,0.220000,0.037961,0.220000,0.035689,0.220000,0.035689,0,0.695210,0.220000,0.212667,0.045294,0.030627,0.171588,0.131588,0.311127,0.330000,0.151315,1
207,440000000,1.709154,1.295703,1.164527,0.223214,0.160121,0.222876,0.142661,0.222532,0.133768,0.222532,0.133768,0.219831,0.038714,0.220000,0.035689,0.220000,0.033473,0.220000,0.033473,0,0.652029,0.220000,0.212667,0.043023,0.028356,0.162661,0.122661,0.311127,0.330000,0.141882,1
207,460000000,1.710189,1.300043,1.167656,0.223065,0.156421,0.222532,0.133768,0.222371,0.130818,0.222371,0.130818,0.219839,0.037797,0.220000,0.033473,0.220000,0.032385,0.220000,0.032385,0,0.630845,0.220000,0.212667,0.040806,0.026139,0.153768,0.113768,0.311127,0.330000,0.138754,1
