sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
38,860000000,0.990892,0.641708,1.168173,0.245513,0.502123,0.242264,0.600000,0.240754,0.600000,0.240754,0.600000,0.220200,0.108577,0.220000,0.101448,0.220000,0.097789,0.220000,0.097789,0,5.714659,0.220000,0.212667,0.108781,0.094114,0.600000,0.580000,0.311127,0.110000,0.402623,1
38,900000000,0.990463,0.651411,1.188240,0.241976,0.500183,0.240754,0.600000,0.237956,0.600000,0.237956,0.600000,0.219931,0.100910,0.220000,0.097789,0.220000,0.090680,0.220000,0.090680,0,5.299202,0.220000,0.212667,0.105122,0.090456,0.600000,0.580000,0.311127,0.110000,0.382557,1
38,940000000,0.989985,0.661046,1.208240,0.240529,0.499790,0.237956,0.600000,0.235278,0.600000,0.235278,0.600000,0.220014,0.097201,0.220000,0.090680,0.220000,0.083401,0.220000,0.083401,0,4.873851,0.220000,0.212667,0.098013,0.083347,0.600000,0.580000,0.311127,0.110000,0.362557,1
38,960000000,0.989721,0.665846,1.218282,0.240369,0.502132,0.235278,0.600000,0.233979,0.600000,0.233979,0.600000,0.220264,0.096234,0.220000,0.083401,0.220000,0.079663,0.220000,0.079663,0,4.655420,0.220000,0.212667,0.090735,0.076068,0.600000,0.580000,0.311127,0.110000,0.352514,1
39,0,0.989521,0.675261,1.238529,0.234735,0.500310,0.233979,0.600000,0.231797,0.600000,0.231797,0.600000,0.219673,0.082732,0.220000,0.079663,0.220000,0.073006,0.220000,0.073006,0,4.266360,0.220000,0.212667,0.086997,0.072330,0.600000,0.580000,0.311127,0.110000,0.332267,1
39,20000000,0.989407,0.679943,1.248582,0.234163,0.502653,0.231797,0.600000,0.230761,0.600000,0.230761,0.600000,0.219877,0.080540,0.220000,0.073006,0.220000,0.069646,0.220000,0.069646,0,4.070002,0.220000,0.212667,0.080339,0.065673,0.600000,0.580000,0.311127,0.110000,0.322214,1
39,60000000,0.989149,0.689265,1.268597,0.232813,0.502175,0.230761,0.600000,0.228800,0.600000,0.228800,0.600000,0.219937,0.076354,0.220000,0.069646,0.220000,0.062846,0.220000,0.062846,0,3.672624,0.220000,0.212667,0.076979,0.062312,0.600000,0.580000,0.311127,0.110000,0.302199,1
39,80000000,0.989097,0.693884,1.278741,0.230973,0.507190,0.228800,0.600000,0.227932,0.600000,0.227932,0.600000,0.220105,0.070015,0.220000,0.062846,0.220000,0.059605,0.220000,0.059605,0,3.483252,0.220000,0.212667,0.070179,0.055513,0.600000,0.580000,0.311127,0.110000,0.292055,1
39,120000000,0.989010,0.703075,1.299025,0.229061,0.508268,0.227932,0.600000,0.226331,0.600000,0.226331,0.600000,0.220144,0.063289,0.220000,0.059605,0.220000,0.053157,0.220000,0.053157,0,3.106413,0.220000,0.212667,0.066939,0.052272,0.600000,0.580000,0.311127,0.110000,0.271771,1
39,140000000,0.988967,0.707650,1.309164,0.228758,0.506931,0.226331,0.600000,0.225594,0.600000,0.225594,0.600000,0.220128,0.062242,0.220000,0.053157,0.220000,0.049926,0.220000,0.049926,0,2.917609,0.220000,0.212667,0.060490,0.045824,0.600000,0.580000,0.311127,0.110000,0.261632,1
39,180000000,0.989069,0.716714,1.329567,0.226594,0.509048,0.225594,0.600000,0.224344,0.600000,0.224344,0.600000,0.220144,0.053681,0.220000,0.049926,0.220000,0.043936,0.220000,0.043936,0,2.567546,0.220000,0.212667,0.057259,0.042593,0.600000,0.580000,0.311127,0.110000,0.241229,1
39,220000000,0.989100,0.725752,1.349886,0.225805,0.507339,0.224344,0.600000,0.223217,0.600000,0.223217,0.600000,0.220135,0.050286,0.220000,0.043936,0.220000,0.037758,0.220000,0.037758,0,2.206551,0.220000,0.212667,0.051269,0.036602,0.600000,0.580000,0.311127,0.110000,0.220910,1
39,240000000,0.989128,0.730253,1.360054,0.225073,0.508382,0.223217,0.600000,0.222719,0.596070,0.222719,0.596070,0.220165,0.046744,0.220000,0.037758,0.220000,0.034695,0.220000,0.034695,0,2.027501,0.220000,0.212667,0.045092,0.030425,0.600000,0.580000,0.311127,0.110000,0.210742,1
39,280000000,0.989377,0.739187,1.380514,0.223353,0.510709,0.222719,0.596070,0.221912,0.576070,0.221912,0.576070,0.220120,0.037863,0.220000,0.034695,0.220000,0.029066,0.220000,0.029066,0,1.698570,0.220000,0.212667,0.042028,0.027361,0.600000,0.576070,0.311127,0.110000,0.190282,1
39,300000000,0.989490,0.743644,1.390725,0.222937,0.510519,0.221912,0.576070,0.221557,0.556070,0.221557,0.556070,0.220115,0.035359,0.220000,0.029066,0.220000,0.026222,0.220000,0.026222,0,1.532379,0.220000,0.212667,0.036399,0.021733,0.596070,0.556070,0.311127,0.110000,0.180072,1
39,340000000,0.989726,0.752523,1.411023,0.221718,0.509954,0.221557,0.556070,0.220962,0.536070,0.220962,0.536070,0.219879,0.028503,0.220000,0.026222,0.220000,0.020594,0.220000,0.020594,0,1.203471,0.220000,0.212667,0.033555,0.018889,0.576070,0.536070,0.311127,0.110000,0.159774,1
39,360000000,0.989873,0.756951,1.421214,0.221532,0.509574,0.220962,0.536070,0.220723,0.516070,0.220723,0.516070,0.219912,0.026742,0.220000,0.020594,0.220000,0.017845,0.220000,0.017845,0,1.042861,0.220000,0.212667,0.027927,0.013260,0.556070,0.516070,0.311127,0.110000,0.149582,1
39,400000000,0.990214,0.765787,1.441646,0.221004,0.510684,0.220723,0.516070,0.220353,0.496070,0.220353,0.496070,0.219978,0.021273,0.220000,0.017845,0.220000,0.012462,0.220000,0.012462,0,0.728286,0.220000,0.212667,0.025179,0.010512,0.536070,0.496070,0.311127,0.110000,0.129150,1
39,420000000,0.990382,0.770200,1.451840,0.220796,0.509701,0.220353,0.496070,0.220217,0.476070,0.220217,0.476070,0.219991,0.018838,0.220000,0.012462,0.220000,0.009770,0.220000,0.009770,0,0.570973,0.220000,0.212667,0.019796,0.005129,0.516070,0.476070,0.311127,0.110000,0.118956,1
39,460000000,0.990801,0.779006,1.472189,0.220383,0.507648,0.220217,0.476070,0.220049,0.456070,0.220049,0.456070,0.219985,0.013244,0.220000,0.009770,0.220000,0.004630,0.220000,0.004630,0,0.270580,0.220000,0.212667,0.017104,0.002437,0.496070,0.456070,0.311127,0.110000,0.098607,1
39,480000000,0.990995,0.783406,1.481982,0.220227,0.489649,0.220049,0.456070,0.220010,0.436070,0.220010,0.436070,0.219962,0.010809,0.220000,0.004630,0.220000,0.002135,0.220000,0.002135,0,0.124741,0.220000,0.212667,0.011963,-0.002703,0.476070,0.436070,0.311127,0.110000,0.088814,1
39,520000000,0.991387,0.792200,1.501082,0.219946,0.469218,0.220010,0.436070,0.220017,0.416070,0.220017,0.416070,0.219897,0.004643,0.220000,0.002135,0.220000,-0.002696,0.220000,-0.002696,0,-0.157544,0.220000,0.212667,0.009468,-0.005199,0.456070,0.416070,0.311127,0.110000,0.069715,1
39,560000000,0.991834,0.800986,1.519403,0.219930,0.452751,0.220017,0.416070,0.220115,0.396070,0.220115,0.396070,0.219928,0.001066,0.220000,-0.002696,0.220000,-0.007129,0.220000,-0.007129,0,-0.416595,0.220000,0.212667,0.004637,-0.010029,0.436070,0.396070,0.311127,0.110000,0.051394,1
