sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772479506,772812447,0.096893,-1.821822,2.496615,-1.400455,-0.462263,-1.330643,1,0.176202,-0.022990,0.183333,-0.003119,0.190667,-0.005180,0.190667,-0.005180,0,-0.027166,0.190667,0.176000,0.016881,-0.023119,0.220000
1772479506,797863513,0.094243,-1.818787,2.496746,-1.400326,-0.466290,-1.330511,1,0.193390,0.001677,0.190667,-0.005180,0.198000,-0.000251,0.198000,-0.000251,0,-0.001266,0.198000,0.183333,0.014820,-0.025180,0.220000
1772479506,847899899,0.085644,-1.813307,2.497345,-1.397140,-0.475976,-1.329913,1,0.190661,-0.006134,0.198000,-0.000251,0.205333,-0.004992,0.205333,-0.004992,0,-0.024311,0.205333,0.190667,0.019749,-0.020251,0.220000
1772479506,872955549,0.082192,-1.810418,2.496832,-1.396297,-0.480398,-1.330425,1,0.198661,-0.004980,0.205333,-0.004992,0.212667,-0.002684,0.212667,-0.002684,0,-0.012622,0.212667,0.198000,0.015008,-0.024992,0.220000
1772479506,898003874,0.077657,-1.807011,2.496678,-1.394944,-0.485907,-1.330580,1,0.215353,0.004666,0.212667,-0.002684,0.220000,-0.001751,0.220000,-0.001751,0,-0.007959,0.220000,0.205333,0.017316,-0.022684,0.220000
1772479506,948025825,0.070304,-1.801341,2.496982,-1.392844,-0.494951,-1.330275,1,0.213005,-0.011971,0.220000,-0.001751,0.220000,-0.001645,0.220000,-0.001645,0,-0.007477,0.220000,0.212667,0.018249,-0.021751,0.220000
1772479506,973065503,0.065247,-1.800122,2.496558,-1.389702,-0.499097,-1.330699,1,0.220110,0.008748,0.220000,-0.001645,0.220000,-0.009130,0.220000,-0.009130,0,-0.041499,0.220000,0.212667,0.018355,-0.021645,0.220000
1772479506,998047241,0.060284,-1.795677,2.496531,-1.388674,-0.505679,-1.330727,1,0.220000,-0.001703,0.220000,-0.009130,0.220000,-0.006708,0.220000,-0.006708,0,-0.030490,0.220000,0.212667,0.010870,-0.029130,0.220000
1772479507,48148272,0.051057,-1.788345,2.496360,-1.386176,-0.517197,-1.330897,1,0.219733,-0.016005,0.220000,-0.006708,0.220000,-0.005073,0.220000,-0.005073,0,-0.023058,0.220000,0.212667,0.013292,-0.026708,0.220000
1772479507,73130599,0.046852,-1.786504,2.495576,-1.384087,-0.521284,-1.331682,1,0.219716,-0.007090,0.220000,-0.005073,0.220000,-0.008245,0.220000,-0.008245,0,-0.037476,0.220000,0.212667,0.014927,-0.025073,0.220000
1772479507,98168597,0.042859,-1.782884,2.495957,-1.383288,-0.526615,-1.331301,1,0.219775,-0.010133,0.220000,-0.008245,0.220000,-0.006681,0.220000,-0.006681,0,-0.030369,0.220000,0.212667,0.011755,-0.028245,0.220000
1772479507,148272066,0.033574,-1.776582,2.497379,-1.380092,-0.537372,-1.329878,1,0.219948,-0.002404,0.220000,-0.006681,0.220000,-0.010616,0.220000,-0.010616,0,-0.048256,0.220000,0.212667,0.013319,-0.026681,0.220000
1772479507,173259816,0.029934,-1.770814,2.498982,-1.380927,-0.544141,-1.328275,1,0.220513,-0.022258,0.220000,-0.010616,0.220000,-0.002877,0.220000,-0.002877,0,-0.013078,0.220000,0.212667,0.009384,-0.030616,0.220000
1772479507,198312024,0.023855,-1.767672,2.498402,-1.378211,-0.550422,-1.328855,1,0.220169,-0.017121,0.220000,-0.002877,0.220000,-0.006634,0.220000,-0.006634,0,-0.030153,0.220000,0.212667,0.017123,-0.022877,0.220000
1772479507,248390763,0.015285,-1.764185,2.495617,-1.373786,-0.558547,-1.331641,1,0.220377,-0.007080,0.220000,-0.006634,0.220000,-0.012355,0.220000,-0.012355,0,-0.056158,0.220000,0.212667,0.013366,-0.026634,0.220000
1772479507,273343553,0.010776,-1.760853,2.495362,-1.372406,-0.563981,-1.331896,1,0.220688,-0.001527,0.220000,-0.012355,0.220000,-0.012130,0.220000,-0.012130,0,-0.055138,0.220000,0.212667,0.007645,-0.032355,0.220000
