sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
24,720000000,0.077438,0.157602,0.510503,0.232502,0.261253,0.260778,0.500000,0.264956,0.500000,0.264956,0.500000,0.174179,0.154010,0.199684,0.167724,0.205028,0.167825,0.205028,0.167825,0,2.879125,0.220000,0.174684,0.192724,0.142724,0.500000,0.475000,0.311127,0.440000,0.830327,1
24,760000000,0.080523,0.166208,0.520575,0.226908,0.245483,0.264956,0.500000,0.268209,0.500000,0.268209,0.500000,0.173214,0.146575,0.205028,0.167825,0.208846,0.168284,0.208846,0.168284,0,2.851987,0.220000,0.180028,0.192825,0.142825,0.500000,0.475000,0.311127,0.440000,0.820255,1
24,800000000,0.083634,0.174649,0.530159,0.224178,0.236170,0.268209,0.500000,0.270869,0.500000,0.270869,0.500000,0.173513,0.141947,0.208846,0.168284,0.212109,0.168463,0.212109,0.168463,0,2.826984,0.220000,0.183846,0.193284,0.143284,0.500000,0.475000,0.311127,0.440000,0.812201,1
24,860000000,0.088368,0.187229,0.544155,0.224340,0.231625,0.270869,0.500000,0.275108,0.500000,0.275108,0.500000,0.176503,0.138475,0.212109,0.168463,0.217120,0.168947,0.217120,0.168947,0,2.791421,0.220000,0.187109,0.193463,0.143463,0.500000,0.475000,0.311127,0.440000,0.799686,1
24,900000000,0.091620,0.195668,0.553412,0.226742,0.228852,0.275108,0.500000,0.277392,0.499012,0.277392,0.499012,0.180873,0.136737,0.217120,0.168947,0.220000,0.168956,0.220000,0.168956,0,2.768585,0.220000,0.192120,0.193947,0.143947,0.500000,0.475000,0.311127,0.440000,0.791535,1
24,940000000,0.094994,0.204239,0.562693,0.231548,0.231349,0.277392,0.499012,0.276093,0.490852,0.276093,0.490852,0.186788,0.136837,0.220000,0.168956,0.220000,0.166815,0.220000,0.166815,0,2.746359,0.220000,0.195000,0.193956,0.143956,0.500000,0.474012,0.311127,0.440000,0.782254,1
24,980000000,0.098498,0.213035,0.572171,0.238642,0.237659,0.276093,0.490852,0.274815,0.483364,0.274815,0.483364,0.194371,0.138456,0.220000,0.166815,0.220000,0.164692,0.220000,0.164692,0,2.724013,0.220000,0.195000,0.191815,0.141815,0.500000,0.465852,0.311127,0.440000,0.773902,1
25,40000000,0.104029,0.226833,0.587105,0.252081,0.253976,0.274815,0.483364,0.272864,0.471467,0.272864,0.471467,0.207521,0.143108,0.220000,0.164692,0.220000,0.161415,0.220000,0.161415,0,2.688898,0.220000,0.195000,0.189692,0.139692,0.500000,0.458364,0.311127,0.440000,0.760252,1
25,80000000,0.107811,0.236183,0.597259,0.252097,0.252612,0.272864,0.471467,0.271586,0.463687,0.271586,0.463687,0.209509,0.140211,0.220000,0.161415,0.220000,0.159245,0.220000,0.159245,0,2.665233,0.220000,0.195000,0.186415,0.136415,0.496467,0.446467,0.311127,0.440000,0.751226,1
25,120000000,0.111616,0.245545,0.607457,0.252732,0.254867,0.271586,0.463687,0.270334,0.455817,0.270334,0.455817,0.211518,0.138324,0.220000,0.159245,0.220000,0.157101,0.220000,0.157101,0,2.641525,0.220000,0.195000,0.184245,0.134245,0.488687,0.438687,0.311127,0.440000,0.741895,1
25,160000000,0.115417,0.254939,0.617778,0.253380,0.257906,0.270334,0.455817,0.269079,0.448037,0.269079,0.448037,0.213303,0.136758,0.220000,0.157101,0.220000,0.154931,0.220000,0.154931,0,2.617196,0.220000,0.195000,0.182101,0.132101,0.480817,0.430817,0.311127,0.440000,0.732633,1
