sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768313261,232099524,0.613007,0.3696,1.390159,0.256281,0.414335,0.26,0.415807,0.26,0.403872,0.26,0.403872,0,,,,,,,,,,1.553354,0.26,0.251333,0.432474,0.39914,0.26
1768313261,265470888,0.61401,0.374628,1.398446,0.256279,0.414363,0.26,0.403872,0.26,0.403762,0.26,0.403762,0,,,,,,,,,,1.552931,0.26,0.251333,0.420539,0.387205,0.26
1768313261,298963230,0.616121,0.384669,1.415021,0.256276,0.414363,0.26,0.403762,0.26,0.403503,0.26,0.403503,0,,,,,,,,,,1.551936,0.26,0.251333,0.420429,0.387095,0.26
1768313261,332354729,0.617223,0.389701,1.42328,0.25756,0.411827,0.26,0.403503,0.26,0.403372,0.26,0.403372,0,,,,,,,,,,1.551429,0.26,0.251333,0.42017,0.386837,0.26
1768313261,365648269,0.619517,0.399755,1.439515,0.25644,0.402535,0.26,0.403372,0.26,0.403159,0.26,0.403159,0,,,,,,,,,,1.550612,0.26,0.251333,0.420038,0.386705,0.26
1768313261,408455767,0.620687,0.404775,1.447557,0.256381,0.402102,0.26,0.403159,0.26,0.40306,0.26,0.40306,0,,,,,,,,,,1.550229,0.26,0.251333,0.419826,0.386492,0.26
1768313261,432339345,0.621858,0.409799,1.455598,0.256381,0.401971,0.26,0.40306,0.26,0.402955,0.26,0.402955,0,,,,,,,,,,1.549829,0.26,0.251333,0.419726,0.386393,0.26
1768313261,465633262,0.624177,0.419864,1.471671,0.256383,0.40166,0.26,0.402955,0.26,0.390897,0.26,0.390897,0,,,,,,,,,,1.503451,0.26,0.251333,0.419622,0.386289,0.26
1768313261,499771355,0.62531,0.424907,1.479705,0.256383,0.40166,0.26,0.390897,0.26,0.390722,0.26,0.390722,0,,,,,,,,,,1.502778,0.26,0.251333,0.407564,0.374231,0.26
1768313261,532342711,0.626419,0.429958,1.487737,0.256383,0.401556,0.26,0.390722,0.26,0.390546,0.26,0.390546,0,,,,,,,,,,1.5021,0.26,0.251333,0.407389,0.374056,0.26
1768313261,565742059,0.628555,0.440112,1.503791,0.258643,0.401044,0.26,0.390546,0.26,0.390207,0.26,0.390207,0,,,,,,,,,,1.500794,0.26,0.251333,0.407213,0.373879,0.26
1768313261,598841262,0.629573,0.44526,1.51182,0.260571,0.401636,0.26,0.390207,0.26,0.390063,0.26,0.390063,0,,,,,,,,,,1.500243,0.26,0.251333,0.406873,0.37354,0.26
1768313261,632186777,0.63149,0.455647,1.527877,0.261924,0.400858,0.26,0.390063,0.26,0.389811,0.26,0.389811,0,,,,,,,,,,1.499274,0.26,0.251333,0.40673,0.373397,0.26
1768313261,665506995,0.632387,0.460855,1.535882,0.261968,0.400019,0.26,0.389811,0.26,0.389696,0.26,0.389696,0,,,,,,,,,,1.49883,0.26,0.251333,0.406478,0.373145,0.26
1768313261,698779208,0.63405,0.471298,1.551845,0.262139,0.398489,0.26,0.389696,0.26,0.377689,0.26,0.377689,0,,,,,,,,,,1.45265,0.26,0.251333,0.406362,0.373029,0.26
1768313261,732246809,0.634813,0.476531,1.559803,0.262237,0.397758,0.26,0.377689,0.26,0.377525,0.26,0.377525,0,,,,,,,,,,1.452019,0.26,0.251333,0.394356,0.361022,0.26
1768313261,765620169,0.636198,0.486999,1.575661,0.260846,0.395178,0.26,0.377525,0.26,0.37721,0.26,0.37721,0,,,,,,,,,,1.450808,0.26,0.251333,0.394192,0.360858,0.26
1768313261,798891333,0.636817,0.492223,1.583554,0.260944,0.394458,0.26,0.37721,0.26,0.377057,0.26,0.377057,0,,,,,,,,,,1.45022,0.26,0.251333,0.393877,0.360543,0.26
1768313261,832099129,0.637904,0.502689,1.599295,0.261123,0.392962,0.26,0.377057,0.26,0.376772,0.26,0.376772,0,,,,,,,,,,1.449123,0.26,0.251333,0.393724,0.360391,0.26
1768313261,865641067,0.638371,0.507931,1.607142,0.261171,0.392156,0.26,0.376772,0.26,0.37664,0.26,0.37664,0,,,,,,,,,,1.448614,0.26,0.251333,0.393439,0.360105,0.26
