sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772476885,587960239,0.008448,-0.988209,-2.091868,-1.176395,-0.541582,-0.044513,1,0.176357,0.203399,0.220000,0.244216,0.216224,0.264216,0.216224,0.264216,0,1.221952,0.220000,0.212667,0.264216,0.224216,0.220000
1772476885,638002108,0.003709,-0.996717,-2.081451,-1.166660,-0.541890,-0.034097,1,0.175132,0.217925,0.216224,0.264216,0.220000,0.257681,0.220000,0.257681,0,1.171278,0.220000,0.208891,0.284216,0.244216,0.220000
1772476885,662999025,0.000427,-1.000178,-2.076104,-1.162005,-0.543183,-0.028849,1,0.177234,0.203380,0.220000,0.257681,0.220000,0.252597,0.220000,0.252597,0,1.148170,0.220000,0.212667,0.277681,0.237681,0.220000
1772476885,687982663,-0.001330,-1.003812,-2.070721,-1.156863,-0.542567,-0.024942,1,0.179839,0.208591,0.220000,0.252597,0.220000,0.237117,0.220000,0.237117,0,1.077805,0.220000,0.212667,0.272597,0.232597,0.220000
1772476885,738076160,-0.005935,-1.011077,-2.058287,-1.148297,-0.543340,-0.012508,1,0.184249,0.196052,0.220000,0.237117,0.220000,0.217117,0.220000,0.217117,0,0.970812,0.220000,0.212667,0.257117,0.217117,0.220000
1772476885,763107552,-0.007181,-1.016434,-2.053755,-1.143298,-0.541837,-0.008157,1,0.185522,0.200768,0.220000,0.217117,0.220000,0.197117,0.220000,0.197117,0,0.892581,0.220000,0.212667,0.237117,0.197117,0.220000
1772476885,788082808,-0.009248,-1.021729,-2.048982,-1.143162,-0.538636,-0.006357,1,0.195002,0.159123,0.220000,0.197117,0.220000,0.177117,0.220000,0.177117,0,0.732021,0.220000,0.212667,0.217117,0.177117,0.220000
1772476885,838206368,-0.013085,-1.028275,-2.039221,-1.135587,-0.539078,0.003404,1,0.203336,0.152527,0.220000,0.177117,0.220000,0.157117,0.220000,0.157117,0,0.632047,0.220000,0.212667,0.197117,0.157117,0.220000
1772476885,863282067,-0.016260,-1.033288,-2.034253,-1.129421,-0.539510,0.008369,1,0.207506,0.160471,0.220000,0.157117,0.220000,0.137117,0.220000,0.137117,0,0.590795,0.220000,0.212667,0.177117,0.137117,0.220000
1772476885,888239390,-0.017321,-1.038620,-2.028736,-1.119676,-0.535983,0.013844,1,0.218200,0.141761,0.220000,0.137117,0.220000,0.117117,0.220000,0.117117,0,0.446950,0.220000,0.212667,0.157117,0.117117,0.220000
1772476885,938292176,-0.022850,-1.047310,-2.020365,-1.109423,-0.536958,0.022215,1,0.216794,0.116854,0.220000,0.117117,0.220000,0.097117,0.220000,0.097117,0,0.425189,0.220000,0.212667,0.137117,0.097117,0.220000
1772476885,963276128,-0.025126,-1.052384,-2.017596,-1.103868,-0.536679,0.024983,1,0.216331,0.119259,0.220000,0.097117,0.220000,0.089736,0.220000,0.089736,0,0.407893,0.220000,0.212667,0.117117,0.077117,0.220000
1772476886,13309588,-0.029626,-1.061611,-2.012648,-1.096288,-0.536010,0.034120,1,0.217380,0.092615,0.220000,0.089736,0.220000,0.074846,0.220000,0.074846,0,0.340209,0.220000,0.212667,0.109736,0.069736,0.220000
