sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772473155,560170022,-0.498852,-1.863560,3.061126,0.173190,-0.586630,-1.398476,1,0.000000,0.000000,0.086674,-0.600000,0.087300,-0.600000,0.087300,-0.600000,0,-6.872883,0.094007,0.079340,-0.580000,-0.600000,0.220000
1772473155,610281855,-0.503268,-1.862521,3.031237,0.173288,-0.591166,-1.428365,1,0.000000,0.000000,0.087300,-0.600000,0.088103,-0.600000,0.088103,-0.600000,0,-6.810230,0.094633,0.079966,-0.580000,-0.600000,0.220000
1772473155,635304187,-0.505957,-1.863656,3.016150,0.174935,-0.593221,-1.443235,1,0.000000,0.000000,0.088103,-0.600000,0.088284,-0.600000,0.088284,-0.600000,0,-6.796269,0.095436,0.080769,-0.580000,-0.600000,0.220000
1772473155,660353767,-0.507700,-1.863051,3.001161,0.172896,-0.591048,-1.454945,1,0.000000,0.000000,0.088284,-0.600000,0.090377,-0.600000,0.090377,-0.600000,0,-6.638888,0.095617,0.080950,-0.580000,-0.600000,0.220000
1772473155,710712008,-0.511946,-1.862315,2.971521,0.173261,-0.595341,-1.484585,1,0.000000,0.000000,0.090377,-0.600000,0.091298,-0.600000,0.091298,-0.600000,0,-6.571870,0.097710,0.083043,-0.580000,-0.600000,0.220000
1772473155,735493002,-0.515322,-1.863019,2.956239,0.174692,-0.598543,-1.500028,1,0.000000,0.000000,0.091298,-0.600000,0.091184,-0.600000,0.091184,-0.600000,0,-6.580087,0.098632,0.083965,-0.580000,-0.600000,0.220000
1772473155,760530632,-0.517833,-1.863436,2.941081,0.174162,-0.602540,-1.517554,1,0.000000,0.000000,0.091184,-0.600000,0.091368,-0.600000,0.091368,-0.600000,0,-6.566867,0.098518,0.083851,-0.580000,-0.600000,0.220000
1772473155,810585909,-0.523333,-1.861831,2.910985,0.173989,-0.608266,-1.547650,1,0.000000,0.000000,0.091368,-0.600000,0.091963,-0.600000,0.091963,-0.600000,0,-6.524380,0.098701,0.084034,-0.580000,-0.600000,0.220000
1772473155,835614464,-0.524743,-1.861053,2.896168,0.173629,-0.609851,-1.562342,1,0.000000,0.000000,0.091963,-0.600000,0.092774,-0.600000,0.092774,-0.600000,0,-6.467310,0.099296,0.084629,-0.580000,-0.600000,0.220000
1772473155,860654088,-0.527076,-1.861184,2.881356,0.174919,-0.612434,-1.575310,1,0.000000,0.000000,0.092774,-0.600000,0.092716,-0.600000,0.092716,-0.600000,0,-6.471388,0.100108,0.085441,-0.580000,-0.600000,0.220000
1772473155,910778749,-0.531279,-1.859871,2.851959,0.174712,-0.616833,-1.604707,1,0.000000,0.000000,0.092716,-0.600000,0.093810,-0.600000,0.093810,-0.600000,0,-6.395879,0.100049,0.085382,-0.580000,-0.600000,0.220000
1772473155,935905075,-0.533909,-1.859353,2.837137,0.174746,-0.619562,-1.619363,1,0.000000,0.000000,0.093810,-0.600000,0.094132,-0.600000,0.094132,-0.600000,0,-6.374004,0.101144,0.086477,-0.580000,-0.600000,0.220000
1772473155,960851873,-0.537208,-1.858375,2.822674,0.172864,-0.623736,-1.631575,1,0.000000,0.000000,0.094132,-0.600000,0.094073,-0.600000,0.094073,-0.600000,0,-6.378035,0.101466,0.086799,-0.580000,-0.600000,0.220000
1772473156,10956025,-0.541650,-1.858014,2.791897,0.173649,-0.628123,-1.662353,1,0.000000,0.000000,0.094073,-0.600000,0.095151,-0.600000,0.095151,-0.600000,0,-6.305773,0.101406,0.086740,-0.580000,-0.600000,0.220000
1772473156,35952852,-0.543545,-1.855674,2.777469,0.171861,-0.630102,-1.676704,1,0.000000,0.000000,0.095151,-0.600000,0.096180,-0.600000,0.096180,-0.600000,0,-6.238296,0.102484,0.087818,-0.580000,-0.600000,0.220000
1772473156,61029040,-0.546646,-1.854960,2.761935,0.171824,-0.626564,-1.691101,1,0.000000,0.000000,0.096180,-0.600000,0.099266,-0.600000,0.099266,-0.600000,0,-6.044385,0.103513,0.088847,-0.580000,-0.600000,0.220000
1772473156,111125616,-0.549969,-1.854083,2.732200,0.171829,-0.630000,-1.720836,1,0.000000,0.000000,0.099266,-0.600000,0.101059,-0.600000,0.101059,-0.600000,0,-5.937139,0.106599,0.091932,-0.580000,-0.600000,0.220000
1772473156,136146840,-0.550456,-1.851806,2.717367,0.169434,-0.631012,-1.735621,1,0.000000,0.000000,0.101059,-0.600000,0.102981,-0.600000,0.102981,-0.600000,0,-5.826315,0.108392,0.093725,-0.580000,-0.600000,0.220000
1772473156,161184027,-0.555168,-1.851611,2.701604,0.166019,-0.635015,-1.750717,1,0.000000,0.000000,0.102981,-0.600000,0.103768,-0.600000,0.103768,-0.600000,0,-5.782110,0.110314,0.095648,-0.580000,-0.600000,0.220000
1772473156,211298885,-0.559488,-1.850000,2.672071,0.165574,-0.639604,-1.780250,1,0.000000,0.000000,0.103768,-0.600000,0.105282,-0.600000,0.105282,-0.600000,0,-5.698972,0.111102,0.096435,-0.580000,-0.600000,0.220000
1772473156,236314176,-0.562029,-1.848522,2.657024,0.164935,-0.642123,-1.795105,1,0.000000,0.000000,0.105282,-0.600000,0.106077,-0.600000,0.106077,-0.600000,0,-5.656288,0.112615,0.097949,-0.580000,-0.600000,0.220000
1772473156,261361704,-0.565417,-1.848212,2.641534,0.167443,-0.640967,-1.807865,1,0.000000,0.000000,0.106077,-0.600000,0.107704,-0.600000,0.107704,-0.600000,0,-5.570798,0.113410,0.098743,-0.580000,-0.600000,0.220000
1772473156,311482545,-0.569277,-1.845084,2.611390,0.165426,-0.645508,-1.838010,1,0.000000,0.000000,0.107704,-0.600000,0.110007,-0.600000,0.110007,-0.600000,0,-5.454202,0.115038,0.100371,-0.580000,-0.600000,0.220000
1772473156,336514662,-0.572054,-1.844266,2.596437,0.165520,-0.648386,-1.852902,1,0.000000,0.000000,0.110007,-0.600000,0.110448,-0.600000,0.110448,-0.600000,0,-5.432398,0.117340,0.102674,-0.580000,-0.600000,0.220000
1772473156,361522624,-0.574731,-1.842835,2.581648,0.167061,-0.651129,-1.866861,1,0.000000,0.000000,0.110448,-0.600000,0.110374,-0.600000,0.110374,-0.600000,0,-5.436065,0.117782,0.103115,-0.580000,-0.600000,0.220000
