sec,nsec,x,y,yaw,v_real,w_real,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz
1765756015.3050203,305020131,0.4312682543813154,-0.0006323164389662591,0.003982452898405046,0.510125145316124,0.4007052630186081,0.5,0.4397985770169031,0.5,0.4397985770169031,False,25.200000762939453,-0.3840000033378601,0.9100000262260437,1.1156979736328125,0.055066638183593745,9.313444458007812,0.017976337358034857,-0.029694246154383503,0.41585260421587306
1765756015.337733,337732784,0.4848235743056422,-0.0002780602950107859,0.017566727009647832,0.5101259350776672,0.4541383635613226,0.5,0.42867798577443106,0.5,0.42867798577443106,False,25.200000762939453,-0.3840000033378601,0.9100000262260437,0.44532150878906246,0.19632453613281248,9.976638317871092,0.0430100516047797,-0.02423476591972107,0.426372090521686
1765756015.355958,355957802,0.504860978322092,7.383621757311998e-05,0.02528533295366163,0.5167504549026489,0.480850137049152,0.5,0.4182883796307583,0.5,0.4232438563598333,False,25.200000762939453,-0.3840000033378601,0.9100000262260437,0.9576806640625,0.239420166015625,9.983820922851562,0.061385863126326434,-0.09494169286132485,0.4447479020432328
1765756015.4011586,401158335,0.5098291776858227,0.00020351874402635417,0.02715341120559026,0.5059083212505687,0.4371306981858618,0.5,0.4182883796307583,0.5,0.4232438563598333,False,25.200000762939453,-0.3840000033378601,0.9100000262260437,0.7062894897460937,0.63206923828125,10.64222637939453,0.07390272024969885,-0.02676476895529634,0.44035368624460197
1765756015.5942676,594267492,0.5405588850903584,0.0011245400394899515,0.04045114066832809,0.4769999794661999,0.3739911011390148,0.5,0.41469187483575154,0.5,0.4030847936332088,False,25.200000762939453,-0.40400001406669617,0.9100000262260437,0.8355763793945312,0.5506663818359374,9.160215551757812,0.094409060643309,0.11345066243737555,0.40346890514700456
1765756015.6313744,631374433,0.6366355567359914,0.007220227338822551,0.09858456328132627,0.4902504999190569,0.42742141522467136,0.5,0.3756577785119516,0.5,0.38261349038644993,False,25.200000762939453,-0.40400001406669617,0.9100000262260437,1.0773907470703123,1.2042834350585936,10.01015714111328,0.11451592687340724,0.005060006071150552,0.4145210236708334
1765756015.784688,784687761,0.6366355567359914,0.007220227338822551,0.09858456328132627,0.4902504999190569,0.42742141522467136,0.5,0.3756577785119516,0.5,0.38261349038644993,False,25.200000762939453,-0.40400001406669617,0.9100000262260437,1.0773907470703123,1.2042834350585936,10.01015714111328,0.11451592687340724,0.005060006071150552,0.4145210236708334
1765756015.8215516,821551402,0.7179611154379604,0.009038324516249344,0.1724846269565035,0.5101249478757381,0.40070605914919605,0.5,0.3348690348903481,0.5,0.3401111681216968,False,25.200000762939453,-0.3869999945163727,0.9100000262260437,1.446097802734375,0.814028564453125,8.968679418945312,0.048869006002954025,0.01478054404993977,0.3608583277057368
1765756015.893322,893322019,0.7226487611358022,0.007980790124220415,0.17933316588868983,0.4968749210238457,0.4007052630186081,0.5,0.3348690348903481,0.5,0.3401111681216968,False,25.200000762939453,-0.3869999945163727,0.9100000262260437,1.0606313354492187,0.3399766357421875,10.175357055664062,-0.03289003946247859,-0.07496798468573054,0.37603834591918844
1765756015.9325485,932548395,0.7419306184511395,0.007937066971501353,0.2020844861916341,0.49687506910413504,0.32056417060835707,0.5,0.3327967441681034,0.5,0.3348690348903481,False,25.200000762939453,-0.3869999945163727,0.9100000262260437,1.1252747802734375,-0.10773907470703124,8.717288244628906,0.06724481752450076,0.02024002428460221,0.3335609265324246
1765756015.9640737,964073594,0.7586789022905821,0.008807022621355664,0.2224033003808476,0.4836251409724355,0.2938504067940577,0.5,0.3281785204274582,0.5,0.3327967441681034,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,1.0103531005859374,0.3806780639648437,9.74200655517578,0.005725796343670361,0.05219795736555306,0.3619235921417685
1765756016.0096753,9675368,0.7805452214689633,0.01319898594596567,0.24339250150170336,0.4968751184642315,0.2938510038919987,0.5,0.297989459929639,0.5,0.3281785204274582,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,0.411802685546875,0.201112939453125,9.382876306152344,0.056991647327695696,0.01744370514001901,0.31252195392079857
1765756016.0303252,30325026,0.7854933217732852,0.01443961045763114,0.24793388503580882,0.5035000331699848,0.3739911011390148,0.5,0.29310679321320976,0.5,0.297989459929639,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,0.7015010864257812,-0.03591302490234375,9.91438907470703,0.019707392066586362,-0.04767058351241837,0.3281014462977621
