sec,nsec,x,y,yaw,v_cmd,w_cmd,battery_v,battery_i,battery_percent,v_real,w_real,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,v_nav,w_nav,velocity_violation
1765740508.1821518,182151680.0,0.9864873119787294,0.17436276479703317,1.514065937930045,0.25,0.7864564669143936,25.200000762939453,-0.7419999837875366,nan,0.2451253980398178,0.8815554000677601,1.3383587280273437,0.26336218261718747,10.216058483886718,0.13728595419358475,-0.015446334322459582,0.8366320564483927,0.25,0.8170000944160115,False
1765740508.2146924,214692352.0,0.9869341276042043,0.18924748988786622,1.5676310434989222,0.25,0.7759568800976725,25.200000762939453,-0.7419999837875366,nan,0.24512381851673126,0.8281254840473975,1.254561669921875,0.5865794067382812,8.511386901855468,0.08335694211948017,-0.047404267403410444,0.8353004759033531,0.25,0.7759568800976725,False
1765740508.2708693,270869248.0,0.9869341276042043,0.18924748988786622,1.5676310434989222,0.25,0.7426235467643392,25.200000762939453,-0.7419999837875366,nan,0.2662274578858037,0.9132144350392761,1.6256629272460936,0.1580173095703125,10.1131078125,0.07643272328527415,0.03621899082507764,0.8246478315430361,0.25,0.7759568800976725,False
1765740508.2976506,297650432.0,0.9869313358938667,0.19176499535996872,1.576179447728427,0.25,0.7242466999700677,25.200000762939453,-0.7379999756813049,nan,0.2517491281032562,0.854834073012875,1.1085153686523437,0.7134720947265625,9.397241516113281,0.13861753473862434,-0.009587379924285258,0.8081362327845448,0.25,0.7426235467643392,False
1765740508.3140566,314056448.0,0.9661721661587741,0.20619633663941617,1.6181960523157113,0.25,0.7130786817330421,25.200000762939453,-0.7379999756813049,nan,0.23850008845329285,0.8014105260372162,0.9600748657226562,0.45489831542968745,9.605537060546874,0.0625842856168621,-0.024900556192240877,0.779374093011689,0.25,0.7130786817330421,False
1765740508.4112215,411221504.0,0.9661721661587741,0.20619633663941617,1.6181960523157113,0.25,0.7130786817330421,25.200000762939453,-0.7379999756813049,nan,0.23850008845329285,0.8014105260372162,0.9600748657226562,0.45489831542968745,9.605537060546874,0.0625842856168621,-0.024900556192240877,0.779374093011689,0.25,0.7130786817330421,False
1765740508.4608972,460897024.0,0.9207993844472844,0.23791059127046932,1.7184563524804382,0.25,0.6611171312543127,25.200000762939453,-0.7379999756813049,nan,0.2517499178647995,0.7479837945392055,0.9696516723632812,0.5147533569335937,9.883264453125,0.12796489037830738,0.01038632825130903,0.7030745277809188,0.25,0.679148160417753,False
1765740508.481857,481857024.0,0.9207993844472844,0.23791059127046932,1.7184563524804382,0.25,0.648425292239376,25.200000762939453,-0.7379999756813049,nan,0.2517499178647995,0.7479837945392055,1.2114660400390624,0.3854664672851562,9.9215716796875,0.07310377192267509,-0.006791060779702058,0.6711165946999681,0.25,0.6611171312543127,False
1765740508.523736,523735808.0,0.9207993844472844,0.23791059127046932,1.7184563524804382,0.25,0.6371494605542614,25.200000762939453,-0.7379999756813049,nan,0.24512381851673126,0.6678421050310135,1.2521674682617188,0.33518823242187495,8.8489693359375,0.052064799311049105,0.03621899082507764,0.6589992117401076,0.25,0.6611171312543127,False
1765740508.5545104,554510336.0,0.9173313067566164,0.2381999960307546,1.7272464876392233,0.25,0.6263551011465731,25.200000762939453,-0.5889999866485596,nan,0.24512618780136108,0.6678452895533654,0.9097966308593749,-0.00718260498046875,9.698910925292969,0.043542683822795546,-0.008522115488253561,0.6480802512707826,0.25,0.6371494605542614,False
1765740508.5811563,581156096.0,0.9113642821827508,0.24267397652887013,1.754476514950179,0.25,0.5935069335052358,25.200000762939453,-0.5889999866485596,nan,0.2451253980398178,0.6678484740757173,1.5035586425781249,0.7517793212890624,9.241618408203124,0.03994741635118857,0.0083889574337496,0.611861260445705,0.25,0.6263551011465731,False
