sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772478894,670350740,-0.659564,-1.299834,-2.952850,-1.134877,-1.320158,-0.539793,1,0.062290,0.595060,0.062802,0.600000,0.062459,0.600000,0.062459,0.600000,0,9.606342,0.070135,0.055468,0.600000,0.580000,0.220000
1772478894,695398495,-0.662005,-1.300565,-2.937120,-1.132569,-1.321238,-0.524063,1,0.063089,0.611829,0.062459,0.600000,0.062458,0.600000,0.062458,0.600000,0,9.606497,0.069792,0.055125,0.600000,0.580000,0.220000
1772478894,745470900,-0.664723,-1.301347,-2.908084,-1.130706,-1.321733,-0.494950,1,0.061907,0.575182,0.062458,0.600000,0.064526,0.600000,0.064526,0.600000,0,9.298562,0.069791,0.055124,0.600000,0.580000,0.220000
1772478894,770671946,-0.665267,-1.302990,-2.893797,-1.135046,-1.314646,-0.480008,1,0.065010,0.610477,0.064526,0.600000,0.071859,0.580000,0.071859,0.580000,0,7.846059,0.071859,0.057193,0.600000,0.580000,0.220000
1772478894,795637252,-0.667367,-1.301505,-2.878063,-1.134465,-1.317152,-0.464274,1,0.064772,0.592599,0.071859,0.580000,0.075106,0.600000,0.075106,0.600000,0,7.988715,0.079193,0.064526,0.600000,0.560000,0.220000
1772478894,845706151,-0.670059,-1.302893,-2.848213,-1.131992,-1.318159,-0.434315,1,0.072489,0.578648,0.075106,0.600000,0.077381,0.600000,0.077381,0.600000,0,7.753884,0.082439,0.067773,0.600000,0.580000,0.220000
1772478894,870742635,-0.672699,-1.303342,-2.833764,-1.133713,-1.321771,-0.418917,1,0.077849,0.602694,0.077381,0.600000,0.077677,0.600000,0.077677,0.600000,0,7.724268,0.084714,0.070047,0.600000,0.580000,0.220000
1772478894,895853800,-0.673167,-1.303794,-2.819403,-1.133063,-1.321745,-0.404555,1,0.077999,0.598157,0.077677,0.600000,0.079817,0.600000,0.079817,0.600000,0,7.517173,0.085011,0.070344,0.600000,0.580000,0.220000
1772478894,945934013,-0.677258,-1.305724,-2.789283,-1.129037,-1.322488,-0.374661,1,0.080514,0.606243,0.079817,0.600000,0.083609,0.600000,0.083609,0.600000,0,7.176244,0.087151,0.072484,0.600000,0.580000,0.220000
1772478894,971128754,-0.679251,-1.306801,-2.775276,-1.129638,-1.318246,-0.362666,1,0.084388,0.629754,0.083609,0.600000,0.090943,0.580000,0.090943,0.580000,0,6.319815,0.090943,0.076276,0.600000,0.580000,0.220000
